,Pi *1e-5,Mach,AoA,Train,std_drag,std_lift,std_mom,confidence_weight_simple
0,1.0,0.3,-15.0,True,0.006715118309594,0.0169216300740319,0.0230590971220065,0.5
1,1.0,0.3,-12.0,True,0.0058666833415707,0.0182764022627506,0.0251109805231633,0.5
2,1.0,0.3,-9.0,True,0.0030876745656733,0.0104078476684974,0.0160108286412996,1.0
3,1.0,0.3,-3.0,True,5.366318972451966e-05,0.0004160507505223,0.0002952246200974,1.0
4,1.0,0.3,0.0,True,3.924722730902921e-05,0.0001089420773615,5.731720576698264e-05,1.0
5,1.0,0.3,7.5,True,0.0003697081307554,0.0019750830091929,0.0010757782311571,1.0
6,1.0,0.3,12.5,True,0.0054885431132127,0.0287261431123682,0.0154010277539245,0.5
7,1.0,0.3,15.0,True,0.0080058725325782,0.0323004186124176,0.0233611699564053,0.5
8,1.0,0.5,-15.0,True,0.0087641374681574,0.0226517276624271,0.0378397195777972,0.5
9,1.0,0.5,-12.0,True,0.0035886024514375,0.0091501490788339,0.0104515594703586,0.5
10,1.0,0.5,-9.0,True,0.0026406874453785,0.0111036299493388,0.0158847287081465,1.0
11,1.0,0.5,-3.0,True,7.152035300588449e-05,0.0004422541634771,0.0002488392119658,1.0
12,1.0,0.5,2.5,True,2.7118375451568605e-05,4.0774067911082566e-05,7.587824867219721e-05,1.0
13,1.0,0.5,5.0,True,3.0978770412652504e-05,0.0003176365135126,0.0004018510224416,1.0
14,1.0,0.5,10.0,True,0.0030848753432624,0.0163482564411464,0.0103194659297059,0.5
15,1.0,0.5,15.0,True,0.0088399662990531,0.0288877359808864,0.0253477892055462,0.5
16,1.0,0.7,-10.0,True,0.0020607729356214,0.0087856591998258,0.0072868051828368,0.5
17,1.0,0.7,-7.5,True,0.0002607831536687,0.000657017893982,0.0006372201151185,1.0
18,1.0,0.7,-5.0,True,0.0003051508253355,0.0008310555275235,0.0009682228149144,1.0
19,1.0,0.7,4.0,True,1.3235777743002453e-05,9.037685181417412e-05,4.8465588308771495e-05,1.0
20,1.0,0.7,6.0,True,0.0002847944835068,0.0021907773576377,0.0012903630965626,1.0
21,1.0,0.7,8.0,True,0.0016681143169722,0.0102830652018733,0.0069458759693164,1.0
22,1.0,0.7,10.0,True,0.0029029371824845,0.0144633382095483,0.0100808851903078,0.5
23,1.0,0.7,12.0,True,0.0015693225784665,0.0075036304264115,0.0039711970306886,0.5
24,1.0,0.75,-10.0,True,0.0033580723507749,0.0093642309041309,0.0153929063388228,0.5
25,1.0,0.75,-7.5,True,0.0007302404386138,0.0024013101879938,0.0028768030654945,1.0
26,1.0,0.75,0.0,True,4.660938523204864e-07,2.258726189135735e-06,4.999762013630161e-06,1.0
27,1.0,0.75,2.0,True,2.640350447514449e-07,3.933513897520288e-06,8.71707738993286e-06,1.0
28,1.0,0.75,6.0,True,0.0004257645530667,0.003766031945644,0.002107306752693,1.0
29,1.0,0.75,8.0,True,0.0009069418846341,0.0065846028668297,0.0039044220623713,1.0
30,1.0,0.75,10.0,True,0.0013080926668967,0.0069997096369849,0.0024754856302159,0.5
31,1.0,0.75,12.0,True,0.0014744680508916,0.0080724403152187,0.003689589519091,0.5
32,1.0,0.8,-10.0,True,0.0011484610795303,0.0043976349572463,0.0034930177065648,0.5
33,1.0,0.8,-7.5,True,0.0006421272008918,0.0020168215118014,0.0025915757807058,1.0
34,1.0,0.8,-2.5,True,3.0355155762849755e-05,0.0001307658468432,0.0001923705062834,1.0
35,1.0,0.8,0.0,True,7.222509403796363e-07,1.391576868485823e-06,3.086824063271238e-06,1.0
36,1.0,0.8,3.0,True,6.135641497512867e-07,1.9703094624156702e-06,4.590309234489645e-06,1.0
37,1.0,0.8,4.5,True,4.829161530716475e-06,1.1954941164270289e-05,1.0947617976707196e-05,1.0
38,1.0,0.8,7.5,True,0.0009991807444521,0.0035732178026746,0.0024005559689437,1.0
39,1.0,0.8,10.5,True,0.0012859481810505,0.0074672058547538,0.0030086249138814,0.5
40,1.0,0.82,-10.0,True,0.0007754831200278,0.0027239625200561,0.0025451415199163,0.5
41,1.0,0.82,-7.5,True,0.0006995038434923,0.0025635439172232,0.0026571839298549,1.0
42,1.0,0.82,-2.5,True,0.0007921253679219,0.0012181105812402,0.0011042065266719,1.0
43,1.0,0.82,0.0,True,1.6111359982319026e-06,5.459512352358061e-07,1.1902079856141174e-06,1.0
44,1.0,0.82,1.5,True,1.5305104962338651e-06,2.346000351222325e-06,2.78731617649253e-06,1.0
45,1.0,0.82,4.5,True,4.327208398323271e-06,1.450024855550972e-05,1.979850241206118e-05,1.0
46,1.0,0.82,9.0,True,0.0013840319057448,0.006754293063983,0.0040252513995986,1.0
47,1.0,0.82,10.5,True,0.0012650293398337,0.0054086761070125,0.0023653684725552,0.5
48,1.0,0.84,-9.0,True,0.0003884211245693,0.0013396818883429,0.0013088997123435,1.0
49,1.0,0.84,-7.0,True,0.0004441304847382,0.0016453155099356,0.0019070109621648,1.0
50,1.0,0.84,-3.0,True,0.0007924654782029,0.0017426367232575,0.0012146156722714,1.0
51,1.0,0.84,0.0,True,3.255263874440323e-06,1.033736934743711e-06,3.8605443936158164e-07,1.0
52,1.0,0.84,3.0,True,1.4185532556348728e-06,4.47064690631431e-06,2.7482711563537963e-06,1.0
53,1.0,0.84,4.0,True,1.1179698066413012e-06,7.778385887733238e-06,5.059526148349316e-06,1.0
54,1.0,0.84,5.0,True,2.4226093957876152e-05,0.0001783849106357,0.000282675475205,1.0
55,1.0,0.84,7.0,True,0.000481532948297,0.0055911794851683,0.0029776765270321,1.0
56,1.0,0.85,-7.0,True,0.0005289304804288,0.0015685408502802,0.002266440335777,1.0
57,1.0,0.85,-5.0,True,0.0007478380872236,0.0026867381197591,0.0013703826824376,1.0
58,1.0,0.85,-3.0,True,6.152919142898124e-05,0.0003081009297239,0.0004720940779679,1.0
59,1.0,0.85,3.0,True,1.5528072689484163e-06,7.962093848264218e-06,4.447618664329338e-06,1.0
60,1.0,0.85,4.0,True,2.785754313366505e-06,8.403722481213951e-06,6.93043742685917e-06,1.0
61,1.0,0.85,5.0,True,0.0002572638209585,0.0018541328989047,0.0005381103632783,1.0
62,1.0,0.85,7.0,True,0.0006640365263073,0.0033636290243106,0.0029522660054999,1.0
63,1.0,0.85,9.0,True,0.0004692893406743,0.0055786843624789,0.0030105548561935,1.0
64,1.0,0.86,-7.0,True,0.0003989842487718,0.001317795498504,0.0016643006785174,1.0
65,1.0,0.86,-3.0,True,6.513207937817451e-05,0.0004004486078335,0.0006239984352055,1.0
66,1.0,0.86,-1.5,True,5.021096716502632e-06,9.658679888085275e-06,4.7661507134154064e-05,1.0
67,1.0,0.86,1.5,True,3.852270363476663e-06,1.3635712169937508e-05,9.221086406284256e-06,1.0
68,1.0,0.86,3.0,True,1.6482496578039537e-06,1.4723606480629886e-05,1.0634096987665885e-05,1.0
69,1.0,0.86,5.0,True,0.0006619256580226,0.0074108709905168,0.0024336923780927,1.0
70,1.0,0.86,7.0,True,0.0007181302317644,0.006973884444963,0.0040924322146709,1.0
71,1.0,0.86,9.0,True,0.0007800996521934,0.0030132645089624,0.0017026744062474,1.0
72,1.0,0.88,-8.0,True,0.0001279614227423,0.0004396784645476,0.0006533176596372,1.0
73,1.0,0.88,-2.0,True,3.923033783556324e-05,0.0002264157202485,0.0003206261277023,1.0
74,1.0,0.88,1.0,True,6.283134191313728e-06,1.8657188871502013e-05,1.1763293683847283e-05,1.0
75,1.0,0.88,2.0,True,2.888326709911888e-06,2.632499848633518e-05,2.173366178241325e-05,1.0
76,1.0,0.88,3.0,True,2.036397551508023e-06,1.0082603142192492e-05,1.2008038764688366e-05,1.0
77,1.0,0.88,4.0,True,3.790474267656185e-06,3.081852670098344e-05,1.144263186765641e-05,1.0
78,1.0,0.88,5.0,True,0.0011383768292649,0.0101851037637281,0.000468883380045,1.0
79,1.0,0.88,6.0,True,0.000699587585611,0.0078951306622406,0.0046679988077856,1.0
80,1.0,0.9,-6.0,True,0.0008098774524745,0.0023849792134739,0.0021490600669182,1.0
81,1.0,0.9,-4.0,True,0.000347738315365,0.0009047304457727,0.0010959803001,1.0
82,1.0,0.9,0.0,True,5.266906749536674e-06,8.837236725482599e-06,8.686445390677687e-06,1.0
83,1.0,0.9,2.0,True,3.715773810434925e-06,9.551562773511109e-06,1.358649456675432e-05,1.0
84,1.0,0.9,3.0,True,4.290896447977575e-06,1.7688208153851527e-05,1.187423274059648e-05,1.0
85,1.0,0.9,5.0,True,7.81509898795278e-05,0.0005512913639941,5.970073029560973e-05,1.0
86,1.0,0.9,6.0,True,0.0012933395083071,0.0099628539492292,0.0011861606179226,1.0
87,1.0,0.9,8.0,True,0.001411298210096,0.0189331809067527,0.0054894490371802,1.0
88,1.0,0.93,-8.0,True,0.0004745157480424,0.002610569646188,0.0011330328738506,1.0
89,1.0,0.93,-6.0,True,0.0005074751192873,0.001329412270983,0.0012351243982373,1.0
90,1.0,0.93,-2.0,True,2.3050242094009737e-05,0.00012877689972,0.0001718984797561,1.0
91,1.0,0.93,1.0,True,1.831934451992336e-06,2.4086636769131275e-05,1.7955836052193842e-05,1.0
